District Name,School Type,Rank,County,ESC Region,Total Enrollment,% Economically Disadvantaged,Overall Score,% Lunch Participation,% Breakfast Participation,CACFP Supper,Afterschool Snack,CEP
GOOSE CREEK CISD,Public,21,HARRIS,4,23920,71.3,61.1,67.7,38.3,Yes,Yes,No
BASTROP ISD,Public,22,BASTROP,13,11994,70.2,60.2,74.8,52.9,No,Yes,Yes
CROWLEY ISD,Public,23,TARRANT,11,16278,72.1,59.8,63.4,37.8,Yes,Yes,No
PASADENA ISD,Public,24,HARRIS,4,49338,79.2,59.7,71.9,33.4,Yes,Yes,No
BEAUMONT ISD,Public,25,JEFFERSON,5,16778,81.5,58.8,65.6,34.7,Yes,Yes,Yes
HOUSTON ISD,Public,26,HARRIS,4,194622,79.2,58.5,55.2,39.4,Yes,Yes,Yes
DEL VALLE ISD,Public,27,TRAVIS,13,11078,89.3,57.9,79.7,56.1,Yes,No,No
DALLAS ISD,Public,28,DALLAS,10,143574,85.1,57.6,60.9,34.7,Yes,Yes,Yes
MISSION CONS ISD,Public,29,HIDALGO,1,13990,86,57,72.1,58,Yes,No,Yes
UNITED ISD,Public,30,WEBB,1,39323,75.4,56.5,69.8,48.1,No,Yes,Yes
WACO ISD,Public,31,MCLENNAN,12,14086,90.6,53.5,53,30.6,Yes,Yes,Yes
GARLAND ISD,Public,32,DALLAS,10,53685,73.9,53.5,63.6,25.2,Yes,Yes,Yes
ARLINGTON ISD,Public,33,TARRANT,11,56311,72.7,53.1,62.1,25.2,Yes,Yes,Yes
CORPUS CHRISTI ISD,Public,34,NUECES,2,33182,72.8,52.4,51.4,29.2,Yes,Yes,Yes
NEW CANEY ISD,Public,35,MONTGOMERY,6,17116,67.1,52.3,72.5,38.3,No,Yes,No
GALENA PARK ISD,Public,36,HARRIS,4,21447,88.4,51.8,72.1,47.5,Yes,No,Yes
EAST CENTRAL ISD,Public,37,BEXAR,20,10018,66.2,51.1,63.4,40.5,No,Yes,Yes
VICTORIA ISD,Public,38,VICTORIA,3,13315,68.5,50.4,58.2,21.7,Yes,Yes,Yes
IRVING ISD,Public,39,DALLAS,10,32378,85.5,50.2,70.2,45.4,Yes,No,Yes
CLEVELAND ISD,Public,40,LIBERTY,4,10860,93.5,50.1,71.4,34.4,No,Yes,Yes
BRYAN ISD,Public,41,BRAZOS,6,16047,79,49.9,66.9,36.4,No,Yes,Yes
SOUTHWEST ISD,Public,42,BEXAR,20,13277,81.8,49.3,71.2,33.1,No,Yes,Yes
SOCORRO ISD,Public,43,EL PASO,19,47294,70.1,49.3,56.2,40.5,No,Yes,Yes
ECTOR COUNTY ISD,Public,44,ECTOR,18,31825,61.9,49.1,56.7,49.8,Yes,No,Yes
HURST-EULESS-BEDFORD ISD,Public,45,TARRANT,11,22885,60.7,47.6,69,30.8,No,Yes,No
"YES PREP PUBLIC SCHOOLS, INC.",Charter,46,HARRIS,4,14562,90,46.9,52.1,17.7,Yes,Yes,Yes
YSLETA ISD,Public,47,EL PASO,19,37244,78.7,46.8,52,47.6,Yes,No,Yes
AMARILLO ISD,Public,48,POTTER,16,30876,66.7,46.6,57.4,34.5,No,Yes,No
ALIEF ISD,Public,49,HARRIS,4,40677,83.2,46.3,71.1,27.1,No,Yes,No
SHELDON ISD,Public,50,HARRIS,4,10570,86.7,46.3,63.6,40.9,Yes,No,No
ABILENE ISD,Public,51,TAYLOR,14,15438,64.4,45.5,66.1,27.9,No,Yes,No
GRAND PRAIRIE ISD,Public,52,DALLAS,10,27431,74.1,44.9,65,37.2,Yes,No,No
FORT WORTH ISD,Public,53,TARRANT,11,74869,85.1,43.7,56.2,29.2,No,Yes,Yes
MESQUITE ISD,Public,54,DALLAS,10,38389,79.2,42.2,63.3,22.8,No,Yes,No
KILLEEN ISD,Public,55,BELL,12,43894,61.8,42,62.8,32.7,Yes,No,Yes
EL PASO ISD,Public,56,EL PASO,19,50785,73.3,41.9,55.9,35.8,Yes,No,Yes
DUNCANVILLE ISD,Public,57,DALLAS,10,11958,77.3,41.4,62.5,21.6,No,Yes,No
BRAZOSPORT ISD,Public,58,BRAZORIA,4,11484,71,39.5,63.7,27.2,Yes,No,Yes
CARROLLTON-FARMERS BRANCH,Public,59,DALLAS,10,24954,63.4,38.9,60.8,17.4,No,Yes,No
KIPP SCHOOLS,Charter,60,TRAVIS,13,32321,91.1,38.2,45.5,33.6,Yes,No,Yes
DICKINSON ISD,Public,61,GALVESTON,4,11942,64.1,35.8,66.2,38.5,No,No,No
SAN ANGELO ISD,Public,62,TOM GREEN,15,13860,62.8,34.1,53.4,41.4,No,No,No
"INTERNATIONAL LEADERSHIP OF TEXAS, INC.",Charter,63,DALLAS,10,20538,61.5,33.7,58.1,18.3,Yes,No,Yes
UPLIFT EDUCATION-NORTH HILLS PREPARATORY,Charter,64,DALLAS,10,22183,72.9,32,63.7,32.2,No,No,No
TYLER ISD,Public,65,SMITH,7,18148,77.8,28.9,62,26.7,No,No,Yes
